0	1.00000	1.00000	1.00000	1.00000	11907.94336
1	0.00805	0.82701	0.96804	0.99371	278.12595
2	-0.13634	0.80025	0.96275	0.99255	30.67545
3	-0.15711	0.79482	0.96135	0.99213	25.33541
4	-0.15986	0.79251	0.96053	0.99183	25.14544
5	-0.15997	0.79065	0.95978	0.99154	25.06525
6	-0.15971	0.78886	0.95905	0.99126	24.98764
7	-0.15939	0.78709	0.95832	0.99098	24.91034
8	-0.15906	0.78532	0.95759	0.99069	24.83326
9	-0.15873	0.78355	0.95686	0.99041	24.75643
10	-0.15840	0.78178	0.95614	0.99013	24.67985
11	-0.15807	0.78002	0.95541	0.98985	24.60351
12	-0.15774	0.77826	0.95469	0.98957	24.52741
13	-0.15741	0.77650	0.95396	0.98929	24.45155
14	-0.15709	0.77475	0.95324	0.98901	24.37593
15	-0.15676	0.77300	0.95252	0.98873	24.30055
16	-0.15643	0.77125	0.95180	0.98845	24.22541
17	-0.15611	0.76950	0.95108	0.98817	24.15050
18	-0.15578	0.76776	0.95037	0.98789	24.07583
19	-0.15546	0.76602	0.94965	0.98761	24.00140
20	-0.15514	0.76428	0.94894	0.98734	23.92720
21	-0.15481	0.76255	0.94822	0.98706	23.85324
22	-0.15449	0.76081	0.94751	0.98678	23.77952
23	-0.15417	0.75909	0.94680	0.98651	23.70602
24	-0.15384	0.75736	0.94609	0.98623	23.63276
25	-0.15352	0.75563	0.94538	0.98596	23.55973
26	-0.15320	0.75391	0.94467	0.98568	23.48694
27	-0.15288	0.75220	0.94396	0.98541	23.41437
28	-0.15256	0.75048	0.94325	0.98514	23.34203
29	-0.15224	0.74877	0.94255	0.98486	23.26992
30	-0.15192	0.74706	0.94184	0.98459	23.19803
31	-0.15161	0.74535	0.94114	0.98432	23.12638
32	-0.15129	0.74364	0.94044	0.98405	23.05495
33	-0.15097	0.74194	0.93973	0.98378	22.98375
34	-0.15065	0.74024	0.93903	0.98351	22.91277
35	-0.15034	0.73855	0.93833	0.98324	22.84202
36	-0.15002	0.73685	0.93764	0.98297	22.77149
37	-0.14971	0.73516	0.93694	0.98270	22.70118
38	-0.14939	0.73347	0.93624	0.98243	22.63110
39	-0.14908	0.73179	0.93555	0.98216	22.56124
40	-0.14876	0.73010	0.93485	0.98190	22.49160
41	-0.14845	0.72842	0.93416	0.98163	22.42217
42	-0.14814	0.72675	0.93347	0.98136	22.35298
43	-0.14782	0.72507	0.93278	0.98110	22.28400
44	-0.14751	0.72340	0.93209	0.98083	22.21522
45	-0.14720	0.72173	0.93140	0.98057	22.14669
46	-0.14689	0.72006	0.93071	0.98030	22.07835
47	-0.14658	0.71840	0.93002	0.98004	22.01024
48	-0.14627	0.71673	0.92934	0.97978	21.94235
49	-0.14596	0.71508	0.92865	0.97951	21.87466
50	-0.14565	0.71342	0.92797	0.97925	21.80719
51	-0.14534	0.71177	0.92729	0.97899	21.73994
52	-0.14504	0.71011	0.92660	0.97873	21.67289
53	-0.14473	0.70847	0.92592	0.97846	21.60607
54	-0.14442	0.70682	0.92524	0.97820	21.53945
